Location,Building Type,Max Price Per Room,SDA Design Category,Vacancy,Has Fire Sprinklers,Has Breakout Room,Onsite Overnight Assistance
Armstrong Creek VIC 3217,"House, 2 residents",88056.12,High Physical Support,2,0,0,1
Lakelands WA 6180,"House, 2 residents",85215.6,High Physical Support,3,0,0,1
Bellevue WA 6056,"House, 3 residents",61155.87,High Physical Support,3,0,0,1
Wellard WA 6170,"House, 2 residents",95920.71,Robust,1,0,1,1
Ellenbrook WA 6069,"House, 2 residents",88056.12,High Physical Support,2,0,0,1
Armadale WA 6112,"Villa / Duplex / Townhouse, 1 residents",74334.73,Fully Accessible,1,0,0,1
Baldivis WA 6171,"House, 3 residents",67074.18,High Physical Support,1,0,0,1
Northam WA 6401,"House, 2 residents",90275.96,High Physical Support,2,1,0,1
Hilbert WA 6112,"House, 2 residents",100365.04,High Physical Support,3,0,0,1
Beckenham WA 6107,"Villa / Duplex / Townhouse, 1 residents",90030.73,High Physical Support,3,1,0,1
Dayton WA 6055,"House, 2 residents",82603.53,High Physical Support,1,0,0,1
Dayton WA 6055,"House, 2 residents",82603.53,High Physical Support,2,0,0,1
Byford WA 6122,"Villa / Duplex / Townhouse, 1 residents",83878.77,High Physical Support,2,0,0,1
Byford WA 6122,"House, 2 residents",0,Multi Design Category,2,0,0,1
Byford WA 6122,"House, 2 residents",85226.12,Fully Accessible,2,0,0,1
Stirling WA 6021,"Apartment, 2 bedroom, 1 resident",125365.8,High Physical Support,2,1,0,1
St James WA 6102,"House, 3 residents",73844.98,High Physical Support,3,1,0,1
Glendalough WA 6016,"House, 2 residents",117408.16,High Physical Support,2,0,0,1
Glendalough WA 6016,"House, 2 residents",117408.16,High Physical Support,2,0,0,1
Lynwood WA 6147,"House, 2 residents",105502.86,Robust,2,1,1,1
Dianella WA 6059,"House, 2 residents",98188.2,High Physical Support,1,1,0,1
Port Kennedy WA 6172,"House, 2 residents",95630.84,High Physical Support,1,0,0,1
